par_id,category,pcl_score,text
8931,vulnerable,0,""""""" The UN Security Council must stand up and act to support vulnerable Palestinian people at the time when they need their protection . """""""
8973,hopeless,1,The UN has failed to settle the Kashmir and Palestine disputes . Atrocities committed by India and Israel in these regions are gaining momentum . Palestinian and Kashmiris are living in fear and hopelessness . The current situation displays the dismal picture of abuse of power . The silence of the international community is incomprehensible . These are Muslim-majority areas and it seems that the world has no interest in the problems faced by Muslims .
8978,in-need,1,"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are they who mourn , for they will be comforted ( Mt 5:4 ) ."
8982,homeless,1,"""It is hard to imagine how someone can go from having a home one day and be out on the street the next week . Many homeless start out with jobs and stable residences . But then , social and particularly money shortage , """" economic necessities """" cause a rapid and deteriorating change ."""
9011,hopeless,0,"ATD wants to uplift the self-esteem of MNC residents , without making them feel hopeless or dependent ."
9082,vulnerable,1,"""It 's easy to dismiss the peace and love message as corny and pass ? , but Powers is convincing when she speaks of """" valuing people over things """" , and her beliefs are proven later when I learn of her considerable financial support of Taking it to the Streets , a charity helping vulnerable homeless youths , of whom there are many . ( This is depressing given the torrent of wealth pouring into the city from nearby Silicon Valley . If the Summer of Love set out to end stark inequality in its own community , it appears to have failed , despite the efforts of people like Powers . )"""
9085,hopeless,0,"Teachers encourage these eager students to express their feelings in drawings and to share their thoughts in writing . We want them to realize that life does not stop when we encounter struggle , that we can find ways to move forward . We are helping them find solutions to seemingly overwhelming problems instead of resigning themselves to hopelessness ."
9130,vulnerable,0,"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable ."
9148,poor-families,0,"Earlier at the ceremony , Azlan , who is also Pauh assemblyman , handed out daily necessities donated by NCIA to 102 poor families in the state constituency ."
9173,women,1,Geeta and the other women in their Self Help Group are also proud of the fact that other women are also getting inspired by their progress story . More and more women are getting associated with Bihan with an aim to bring about positive changes in their lives and most of them are inspired by other women who have already shown the example .
9177,disabled,0,""""""" I realised that it was not impossible to achieve anything in the world despite being disabled ."""
9209,poor-families,1,He said all Daanish schools had been set up in backward areas for promoting quality education and these schools had opened doors of quality education to children of poor families .
9249,refugee,1,"In Nyarugusu , Tanzania 's last major refugee camp , the government and United Nations are trying to end a rootless life for generations of people living -- and many born -- in exile ."
9252,refugee,0,"In an act of defiance against Hungarian authorities , which had suspended trains to Western Europe , between 1,200 and 2,000 refugees decided to walk from Keleti Station in Budapest to Vienna on Friday . Men , women , children -- even people on crutches -- marched from the late morning to evening , clutching bags filled with all the possessions they had ."
9301,hopeless,1,*Are the aspirations of the Ghanaian Youth being fulfilled ? *What conscious opportunities are available to the Youth ? *Does Government have good intentions for the Ghanaian Youth ? *What are the possible consequences when the Youth are hopelessly hopeless ?
9326,hopeless,1,"The majority of these people now reside , in refugee camps that lack sufficient humanitarian aid , offering refugees little more than a hopeless situation . International charitable organisations fear working in these camps as harassment and violence against those aiding Rohingya Muslims are common ."
9331,migrant,0,"In Gill Hoffs latest book , she takes us on a fascinating voyage across the sea . In this vivid account of life aboard a 19th century emigrant ship -- with it diverse assemblage of life -- a searing tale of hopeful passengers emerges who find their fates are bound together by the utterly self-serving actions of their captain ."
9341,poor-families,0,""""""" T-Bird was observant but soft spoken . Only among his friends would you hear him involved in loud talking . He was very caring and he did not allow anyone to change his character and style . He stood for high principles even if it meant he would stand alone . He showed love and respect to all those around him . He was the Godfather for most of the poor families in the community and was always the provider for his family , """" Dillon said ."""
9351,hopeless,0,We seem to have lost our way . And a grim sense of helplessness and hopelessness has cast a hazy gloom across the nation . Our beloved nation is in distress . We all need to take ownership to reclaim the nation and rebuild a nation for our children and the generations to come .
9353,hopeless,1,"""But more than taking personal strength from the heroines of Philippine culture , Alma finds greater inspiration in being able to share her skills to build on the dreams of women and children , """" I look at art not as a career but as a spiritual expression . Art should bring out what is innately beautiful , especially to those who are hopeless . """""""
9362,homeless,0,"""But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . """" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , """" he said ."""
9386,homeless,0,"A happy day it was indeed when a 31 homeless street dogs found their forever homes in the loving arms of the kind children and adults who visited Embark 's ' Adopt A Dog Day ' at Lyceum International School , Nugegoda on the 15th of September . Students from grades 1 to 8 were invited to attend along with their families and friends . The organizers were delighted by the fact that all the puppies and adult dogs who had been put up for adoption found good homes and new families in record time . In fact , Embark ran out of dogs as the demand was so high , but this was just the first adoption day of many more to come at the Lyceum Schools , so everyone who missed out can find their forever friends at future adoption days ."
9402,migrant,1,"""Riss says he wanted to depict the hypocrisy of Europeans ' reaction to the crisis as well as the """" disenchantment """" awaiting the migrants reaching the continent 's shores alive ."""
9406,in-need,0,"The backdrop to the year has been William , Kate and Harry 's mental health campaign , Heads Together , which has encouraged people to speak about their problems or be a sympathetic ear for others in need ."
9411,in-need,1,""""""" The boxing community is wonderful at helping those in need , today is a prime example ."""
9423,in-need,0,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful ."
9433,hopeless,0,""""""" It beggars belief this scheme has been cobbled together ten weeks from the election when for more than a year Bill English has preferred to write off young unemployed people as pretty damn hopeless and too drugged and lazy ."""
9482,disabled,0,"It starts at the airport . The quiet belief in lines , the air of solicitousness that creeps in almost imperceptibly , the deference to women , children , the disabled or senior citizens . Indians on the verge of leaving India always seem to have a switch that mysteriously turns on or off just before those international flights turn on their boarding signs ."
9505,hopeless,0,"I mention these moments to highlight and illustrate the potential that young people have to change our society . In all these moments they were able to find a way in situations that were otherwise deemed hopeless . Where other people could not have thought that there was way , young people were able to create one ."
9509,refugee,1,"Aid agencies are warning that a whole generation of Syrian children is being mentally scarred by the conflict at home -- and by the difficulties of life as a refugee . As Henry Ridgwell reports , charities say treatment for traumatized children is vastly underfunded."
9517,homeless,0,"""BANTAYAN ISLAND , Cebu -- When Supertyphoon """" Yolanda """" ( international name : Haiyan ) pummeled the Visayas in November 2013 , the eyes of the world and much of the international aid that poured into the country centered in Tacloban City -- one of the areas severely hit by the strongest storm that made landfall on record . But not so far away , in a small island at the northern end of Cebu , the suffering of thousands of families left devastated and homeless by the typhoon was just as valid , sans the media spotlight ."""
9527,hopeless,0,"""In addition , it gives the usually """" dark """" topic a bracingly illuminating spin , as it urges viewers to value life , and points out that suicide may """" solve """" a hopeless person 's problems -- but takes a terrible toll on his loved ones !"""
9540,in-need,1,"""She added : """" I am really happy with the awards , but I just want to help those in need . """""""
9543,poor-families,0,"Many of the children are from poor families , with parents convinced their children will have a better life at the orphanage , according to Lumos ."
9546,in-need,0,"""Soles4Souls , the Nashville-based charity that distributes a pair of shoes every seven seconds to people in need , has put a call out for donations as the organization is literally """" running out of shoes . """""""
9549,poor-families,0,"Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful to their parents . The same children that inflated their school fees and shared it equally with the bursar , regardless of their fathers ' sweat on the farm ."
9576,hopeless,1,"Miskia Ahmed , a 21-year-old female Somalia refugee who has lived in Kenya since her childhood has a burning desire to change a narrative punctuated by despair and hopelessness ."
9578,women,0,Women in Sri Lanka have proven their skills and capabilities in competing equally with their main counterparts in various fields . Among them there are some women who are using their skills and capabilities for the betterment of the society instead of their own personal gain . This week the Empowering Women 's corner brings you the story of such a woman who has become a well-known character in the society due to her social services . She is a model character who has proven herself by withstanding countless criticisms and challenges to continue her journey beyond the role of a traditional woman .
9634,vulnerable,0,"AIRTEL Sales Officer for Lake Zone , Emmanuel Raphael and the Manager Joel Laizer hand over a donation of food items to Sarnaa Islamic Orphanage Centre children for Iftar in Mwanza recently . Airtel has set 10m/- to support children who are living in vulnerable environment in various centres countrwide . ( Photos by Staff Photographer )"
9687,poor-families,1,"""In his condolence message , he said , """" All our sympathies are with the poor families as we are standing in cohesion with the Egyptian government and the people in this hour of grief . """""""
9692,hopeless,0,"It 's precisely what 's needed in our own beloved Kenya , namely , a majority of voters going to the polls come 2017 and saying , enough of the tribal and ethnic based politics , enough of being ruled by inept and incompetent governments and leaders who promise the moon when vying for office only to deliver nothing but more misery , hopelessness and poverty for everyone except themselves and their cronies ."
9731,in-need,1,"""In an article posted to its English language website on Thursday , China 's state-run Xinhua news agency sang the praises of microblogs , saying that China 's some 195 million microbloggers have """" become strong force to help those in need . """""""
9732,hopeless,1,""""""" It 's the politicians that have no faith in the people . All we hear from them is negativity . If you keep feeding negativity , the response is a people who are tired , bored and feeling hopelessness . Give the people something to strive for . Build youth centres . There are sooooo many talented youth . Jamaica must stop bad-mouthing ALL youth . The majority just want one simple thing and that is , A CHANCE . """""""
9741,in-need,1,"That one person who always needs help - it 's nice to be there for people and having someone there for you when you need them . However , there are a few people who are constantly in need of help and have reached a stage where they ca n't get even the simplest of things done independently . We 're not sure what to call them though , since they always manage to get their work done while you sit there wondering how , even after a day of hard work your checklist remains untouched . We wonder ! Tell them to get an assistant , if they ca n't afford that , there are always interns."
9759,hopeless,1,This has created anger -- especially among the young in our society -- deepened by the seeming hopelessness of their circumstances .
9764,in-need,1,"The most endearing aspect of Nizami Sahib 's personality was the disarming manner in which he helped people who , he knew , were desperately in need of work . He would scratch his shiny , bald head and ask them if they could be so kind as to oblige him by preparing broadcastable material on social hygiene , new developments in mathematics , Hegelian philosophy , or whatever ."
9780,poor-families,0,"( July 24 , 2018 , Chennai , Sri Lanka Guardian ) The most serious harm and injustice being done to the millions of poor families all over India is the lack of availability of quality education for their children ."
9798,hopeless,1,"The City Without Drugs organisation is still active , as is their YouTube channel . It features hundreds of videos of drug addicts being dragged half-conscious through the street , their faces not blurred , or confessing their alleged worthlessness , their hopelessness , their shame ."
9829,hopeless,1,"I have been looking to see if Ojinga 's son and daughters , Kalonzo 's children would be among these jobless and hopeless looking demonstrators.As usual , they are nowhere to be seen.At the end of the day , having demonstrated all day on empty stomach , their children and wives are asking the goons for money to buy unga for dinner answer hakuna ! ? Meanwhile , Ojinga and his NASWA team and of course families retire to their posh homes in Karen and after dinner , they have enough to throw away or feed the dogs while the demonstrators sleep hungry.This is replicated every time there is a demonstration in our city and towns across the country . Due to lack of the basic necessities , the demonstrator resorts to looting and stealing.The rest is history ."
9840,hopeless,1,""""""" Is it the bad gas , the ZIKV , is it the joblessness , the hopelessness , the poverty ? What has changed to make the fortunes of this incompetent , wicked , uncaring , insensitive government be showing up or showing signs ? """""""
9841,refugee,1,"The past year has not been easy -- neither for the refugees , nor for those assisting them . A process complicated by the knowledge that there is no end in sight to the suffering of the most persecuted community in the world , with diplomatic deals regarding repatriation , having failed time and time again in the past ."
9875,homeless,1,"Columns <h> Poor , pregnant and homeless"
9891,vulnerable,0,"Meanwhile , Dr. Thomas told JIS News that the seminar was staged for all well- thinking Jamaicans with a passion for helping this vulnerable group ."
9936,hopeless,1,"Since its inception in 1994 , the NCVT has had vast experience in assisting women from impoverished areas such as Diepsloot , Zandspruit , and Cosmo City . These women often face seemingly hopeless situations , including physical and emotional abuse . With Women 's Month approaching , NCVT reflects on these challenges and the supportive role that social workers play . <h> Poverty and domestic violence"
9981,homeless,0,"As schools in Lagos State resume for the 2018/2019 session , 200 homeless children from Aboki Estate , a slum in Lekki neighbourhood have received the support of the Destiny Trust to go back to school . Aboki Estate , as the slum is called , is predominantly populated by children and families displaced from the North East in the rise of insurgency . The beneficiaries were profiled under three categories to provide for children of school age who have never been to school , school drop-outs and indigent children who are in school but may not have essential materials needed to go back to school ."
9995,hopeless,0,"In his a New Year message , stated that President Akufo-Addo led government brought economic hardship and hopelessness to Ghanaians in 2017 year under review hence encouraged that the hope is still not lost as the NDC being the social democratic party will come back to power in 2021 to restore the lost hope ."
10000,vulnerable,1,"The University of Technology , Jamaica through its USAID-funded Fi Wi Jamaica Project on international Human Rights Day , Thursday , December 10 , 2015 honoured ten ( 10 ) ? unsung heroes ? and one ( 1 ) institution for their transformative and enduring humanitarian work in influencing the way that Jamaican society values the most vulnerable . The awards were presented at the 2nd Annual Essence of Humanity Ubuntu Awards ceremony held at the PCJ auditorium , New Kingston ."
10031,in-need,0,"""Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . """" <h> The forgotten people of Brooklyn"""
10045,hopeless,0,"Artist Proshanta Karmakar Buddha has created his own style of art that is both modern and unique . He longs for a world devoid of chaos , brutality and hopelessness . He anticipates a peaceful utopia where human empathy and cooperation transcend national boundaries . It may be a ' fool 's dream ' but a world without hope is not a world worth living in . The spirit of that hope echoes through his works . Till date , Buddha has put up 29 solo exhibitions and participated in at least 96 national and international group exhibitions ."
10090,poor-families,0,""""""" We have identified extremely poor families , orphaned children , the elderly and those living with HIV/AIDS but with no source of income . We will give them priority to enable them get treated whenever they fall sick , """" he said ."""
10091,vulnerable,0,"""My own sense of revulsion grew last night after my wife returned from a Delhi home for the blind where children live in squalid , cramped conditions , Braille books were missing , and unpaid teachers were absent . """" House mothers """" paid for by foreign donors were missing and these vulnerable children were left alone at night protected only by a low-paid security guard ."""
10123,in-need,1,""""""" In keeping with the significance of the ILC since its inception 45 years ago , the representatives reiterated their continuing commitment to open and constructive dialogue as a model for interreligious and intercultural understanding in the world , most especially with religious leaders of the Muslim community . They also reiterated the commitment to collaborate in addressing the emerging needs of their communities wherever they may be , and to convey their transcendent messages to a world so much in need of authentic and caring affirmation represented by their two religious traditions . """" --Asia News"""
10200,refugee,0,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid ."
10230,poor-families,1,Delhi : Going on stage at school and acting out scenes from your home life can uncover hidden truths . The stage at Prerna School for Girls in Lucknow is the place where the performers - girls from poor families in the surrounding slums - suddenly realise they are unequal .
10260,homeless,0,""""""" Not homeless -- but STARVING for success . Will run routes 4 food , """" read the hand-drawn message on the cardboard sign Anderson carried last month and in the social media photo he posted ."""
10277,disabled,1,""""""" This definitive outcome is a testament to the foresight of those who launched the programme , believing that elimination was possible in one of the world 's most endemic countries . In human terms , these children will never have to worry about being disabled by lymphatic filariasis . """""""
10444,poor-families,1,"Desertification which affects Yunusari , Yusufari , Karasuwa , Machina , Geidam and Bursari local government areas is increasingly diminishing the space for agricultural activities and livestock development . For many years , Yobe state has been screaming and asking for help to deal with desertification because it is depriving many poor families of their means of livelihood and even shelter . One needs to just visit Tulo-Tulo in Yusufari Local Government Area to have a picture of the disaster that is making life more difficult every day for thousands of families ."
